StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q1.2,Q1.3,Q44,Q2.2,Q2.3,Q2.4,Q3.2,Q3.3,Q3.4,Q4.2,Q4.3,Q4.4,Q5.2,Q5.3,Q5.4,Q6.2,Q6.3,Q6.4,Q7.2,Q7.3,Q7.4,Q8.2,Q8.3,Q8.4,Q9.2,Q9.3,Q9.4,Q10.2,Q10.3,Q10.4,Q11.2,Q11.3,Q11.4
2026-04-12 08:12:04,2026-04-12 08:32:15,IP Address,172.58.1.107,100,1210,TRUE,2026-04-12 08:32:15,R_5KqFMAyXCMNVPep,,,,,33.9388,-84.2754,qr,EN,19,1,3,Personalized,2,4,2,2,2,4,6,2,6,6,2,6,5,3,5,4,2,4,5,2,6,4,2,5,6,2,6,6,2,6
2026-04-12 08:32:25,2026-04-12 08:58:15,IP Address,172.58.0.147,100,1550,TRUE,2026-04-12 08:58:15,R_7NxM6ikDoLMTQH5,,,,,33.9388,-84.2754,qr,EN,19,1,3,Personified,3,3,3,4,3,4,5,4,5,5,3,6,5,3,4,5,3,5,6,2,6,4,4,4,5,2,5,7,2,6
2026-04-12 11:34:47,2026-04-12 11:54:00,IP Address,166.199.148.70,100,1153,TRUE,2026-04-12 11:54:02,R_1xDetfiXYbQpBxT,,,,,33.7485,-84.3871,qr,EN,11,1,2,Personalized,4,2,4,5,3,6,5,5,6,6,6,6,7,7,7,5,5,5,7,7,7,6,6,6,5,5,5,7,7,7
2026-04-12 12:01:59,2026-04-12 12:22:33,IP Address,128.61.160.244,100,1233,TRUE,2026-04-12 12:22:33,R_1kNCHUXJqJJQJE1,,,,,33.7485,-84.3871,qr,EN,11,1,2,Personified,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,4,4,4,5,5,5,4,3,4,6,6,6,7,7,7
2026-04-13 15:06:18,2026-04-13 15:34:51,IP Address,128.61.160.65,100,1712,TRUE,2026-04-13 15:34:51,R_5ZWRYl1cxOlrACc,,,,,33.7749,-84.3975,qr,EN,3,1,1,Personalized,5,2,6,7,2,7,5,2,5,7,1,7,3,4,2,7,2,6,5,4,5,3,5,2,4,3,4,7,1,7
2026-04-13 15:35:02,2026-04-13 16:01:41,IP Address,128.61.160.65,100,1598,TRUE,2026-04-13 16:01:41,R_1m3JJeQkwayrITl,,,,,33.7749,-84.3975,qr,EN,3,1,1,Personified,2,3,3,7,2,6,5,2,6,7,1,7,3,2,2,7,1,7,6,3,6,3,5,2,5,6,2,7,1,7
2026-04-14 08:13:12,2026-04-14 08:34:12,IP Address,128.61.160.122,100,1260,TRUE,2026-04-14 08:34:13,R_6dFl1DYDz9bHbCC,,,,,33.7749,-84.3975,qr,EN,20,2,5,Personified,2,5,2,7,1,7,3,5,4,7,1,7,7,1,7,7,1,7,7,1,7,1,7,2,4,2,4,7,1,7
2026-04-14 08:37:55,2026-04-14 09:05:23,IP Address,128.61.160.122,100,1648,TRUE,2026-04-14 09:05:25,R_748KKR2aCnjGwxo,,,,,33.7749,-84.3975,qr,EN,20,2,5,Personalized,3,5,3,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,2,5,2,5,3,5,7,1,7
2026-04-15 14:57:07,2026-04-15 15:24:18,IP Address,128.61.160.107,100,1631,TRUE,2026-04-15 15:24:19,R_1IcLcsIkcbwphJB,,,,,33.7749,-84.3975,qr,EN,22,2,6,Personified,3,4,3,6,2,7,6,2,7,7,2,7,5,2,5,7,2,6,3,2,4,2,2,2,5,2,5,5,2,6
2026-04-15 15:34:37,2026-04-15 15:57:58,IP Address,128.61.160.107,100,1400,TRUE,2026-04-15 15:57:58,R_3PtxfNUA3p0i9Iy,,,,,33.7749,-84.3975,qr,EN,22,2,6,Personalized,3,2,5,7,2,7,7,2,7,7,2,7,5,2,7,6,2,7,5,2,5,3,2,3,6,2,6,6,2,6
